"filename", "language", "PHP", "XML", "comment", "blank", "total"
"c:\laragon\www\facturafacil\app\Http\Controllers\Auth\EmailVerificationPromptController.php", "PHP", 16, 0, 3, 4, 23
"c:\laragon\www\facturafacil\app\Http\Controllers\Auth\LogoutController.php", "PHP", 15, 0, 0, 4, 19
"c:\laragon\www\facturafacil\app\Http\Controllers\Auth\NewPasswordController.php", "PHP", 40, 0, 14, 8, 62
"c:\laragon\www\facturafacil\app\Http\Controllers\Auth\PasswordController.php", "PHP", 21, 0, 3, 6, 30
"c:\laragon\www\facturafacil\app\Http\Controllers\Auth\PasswordResetLinkController.php", "PHP", 27, 0, 11, 7, 45
"c:\laragon\www\facturafacil\app\Http\Controllers\Auth\RegisteredUserController.php", "PHP", 35, 0, 8, 9, 52
"c:\laragon\www\facturafacil\app\Http\Controllers\Auth\VerifyEmailController.php", "PHP", 20, 0, 3, 6, 29
"c:\laragon\www\facturafacil\app\Http\Controllers\AutoPedidoController.php", "PHP", 101, 0, 1, 22, 124
"c:\laragon\www\facturafacil\app\Http\Controllers\AuxiliaryItemController.php", "PHP", 62, 0, 0, 15, 77
"c:\laragon\www\facturafacil\app\Http\Controllers\BackupController.php", "PHP", 64, 0, 0, 16, 80
"c:\laragon\www\facturafacil\app\Http\Controllers\CashRegisterController.php", "PHP", 315, 0, 0, 57, 372
"c:\laragon\www\facturafacil\app\Http\Controllers\CategoryController.php", "PHP", 65, 0, 0, 16, 81
"c:\laragon\www\facturafacil\app\Http\Controllers\CompanyController.php", "PHP", 169, 0, 5, 32, 206
"c:\laragon\www\facturafacil\app\Http\Controllers\Controller.php", "PHP", 10, 0, 0, 4, 14
"c:\laragon\www\facturafacil\app\Http\Controllers\CustomerApiController.php", "PHP", 53, 0, 0, 9, 62
"c:\laragon\www\facturafacil\app\Http\Controllers\CustomerController.php", "PHP", 72, 0, 0, 15, 87
"c:\laragon\www\facturafacil\app\Http\Controllers\DashboardController.php", "PHP", 114, 0, 0, 22, 136
"c:\laragon\www\facturafacil\app\Http\Controllers\DecolectaController.php", "PHP", 313, 0, 1, 59, 373
"c:\laragon\www\facturafacil\app\Http\Controllers\DocumentController.php", "PHP", 197, 0, 7, 35, 239
"c:\laragon\www\facturafacil\app\Http\Controllers\InvoiceController.php", "PHP", 403, 0, 14, 80, 497
"c:\laragon\www\facturafacil\app\Http\Controllers\PermissionController.php", "PHP", 63, 0, 0, 16, 79
"c:\laragon\www\facturafacil\app\Http\Controllers\PosController.php", "PHP", 236, 0, 1, 48, 285
"c:\laragon\www\facturafacil\app\Http\Controllers\ProductController.php", "PHP", 699, 0, 2, 118, 819
"c:\laragon\www\facturafacil\app\Http\Controllers\ProfileController.php", "PHP", 39, 0, 10, 14, 63
"c:\laragon\www\facturafacil\app\Http\Controllers\PurchaseController.php", "PHP", 106, 0, 0, 18, 124
"c:\laragon\www\facturafacil\app\Http\Controllers\Restaurant\FloorController.php", "PHP", 60, 0, 0, 16, 76
"c:\laragon\www\facturafacil\app\Http\Controllers\Restaurant\RestaurantController.php", "PHP", 1095, 0, 1, 210, 1306
"c:\laragon\www\facturafacil\app\Http\Controllers\Restaurant\TableController.php", "PHP", 73, 0, 0, 18, 91
"c:\laragon\www\facturafacil\app\Http\Controllers\RoleController.php", "PHP", 73, 0, 0, 19, 92
"c:\laragon\www\facturafacil\app\Http\Controllers\SerieController.php", "PHP", 72, 0, 0, 17, 89
"c:\laragon\www\facturafacil\app\Http\Controllers\StockOutputController.php", "PHP", 155, 0, 0, 33, 188
"c:\laragon\www\facturafacil\app\Http\Controllers\SummaryController.php", "PHP", 113, 0, 1, 26, 140
"c:\laragon\www\facturafacil\app\Http\Controllers\SunatPadronController.php", "PHP", 91, 0, 0, 13, 104
"c:\laragon\www\facturafacil\app\Http\Controllers\SunatProductSearchController.php", "PHP", 18, 0, 0, 5, 23
"c:\laragon\www\facturafacil\app\Http\Controllers\SupplierController.php", "PHP", 70, 0, 0, 14, 84
"c:\laragon\www\facturafacil\app\Http\Controllers\ThemeController.php", "PHP", 17, 0, 0, 6, 23
"c:\laragon\www\facturafacil\app\Http\Controllers\UbigeoController.php", "PHP", 36, 0, 0, 8, 44
"c:\laragon\www\facturafacil\app\Http\Controllers\UserController.php", "PHP", 71, 0, 0, 14, 85
"c:\laragon\www\facturafacil\app\Http\Middleware\Authenticate.php", "PHP", 12, 0, 6, 4, 22
"c:\laragon\www\facturafacil\app\Http\Middleware\EncryptCookies.php", "PHP", 8, 0, 6, 4, 18
"c:\laragon\www\facturafacil\app\Http\Middleware\IsAdmin.php", "PHP", 26, 0, 0, 7, 33
"c:\laragon\www\facturafacil\app\Http\Middleware\PreventRequestsDuringMaintenance.php", "PHP", 8, 0, 6, 4, 18
"c:\laragon\www\facturafacil\app\Http\Middleware\RedirectIfAuthenticated.php", "PHP", 19, 0, 8, 6, 33
"c:\laragon\www\facturafacil\app\Http\Middleware\ThemeMiddleware.php", "PHP", 14, 0, 0, 4, 18
"c:\laragon\www\facturafacil\app\Http\Middleware\TrimStrings.php", "PHP", 11, 0, 5, 4, 20
"c:\laragon\www\facturafacil\app\Http\Middleware\TrustHosts.php", "PHP", 12, 0, 5, 4, 21
"c:\laragon\www\facturafacil\app\Http\Middleware\TrustProxies.php", "PHP", 14, 0, 10, 5, 29
"c:\laragon\www\facturafacil\app\Http\Middleware\VerifyCsrfToken.php", "PHP", 8, 0, 6, 4, 18
"c:\laragon\www\facturafacil\app\Http\Requests\Auth\LoginRequest.php", "PHP", 51, 0, 21, 14, 86
"c:\laragon\www\facturafacil\app\Http\Requests\ProfileUpdateRequest.php", "PHP", 15, 0, 5, 4, 24
"c:\laragon\www\facturafacil\app\Models\AuxiliaryItem.php", "PHP", 19, 0, 0, 7, 26
"c:\laragon\www\facturafacil\app\Models\CashRegister.php", "PHP", 50, 0, 0, 12, 62
"c:\laragon\www\facturafacil\app\Models\Category.php", "PHP", 19, 0, 0, 6, 25
"c:\laragon\www\facturafacil\app\Models\Company.php", "PHP", 126, 0, 0, 16, 142
"c:\laragon\www\facturafacil\app\Models\Customer.php", "PHP", 20, 0, 0, 6, 26
"c:\laragon\www\facturafacil\app\Models\Floor.php", "PHP", 35, 0, 0, 10, 45
"c:\laragon\www\facturafacil\app\Models\Invoice.php", "PHP", 62, 0, 2, 14, 78
"c:\laragon\www\facturafacil\app\Models\InvoiceItem.php", "PHP", 21, 0, 0, 6, 27
"c:\laragon\www\facturafacil\app\Models\Note.php", "PHP", 21, 0, 0, 6, 27
"c:\laragon\www\facturafacil\app\Models\Permission.php", "PHP", 32, 0, 0, 6, 38
"c:\laragon\www\facturafacil\app\Models\PrintJob.php", "PHP", 15, 0, 0, 5, 20
"c:\laragon\www\facturafacil\app\Models\Printer.php", "PHP", 19, 0, 0, 5, 24
"c:\laragon\www\facturafacil\app\Models\Product.php", "PHP", 45, 0, 0, 12, 57
"c:\laragon\www\facturafacil\app\Models\ProductComponent.php", "PHP", 22, 0, 0, 7, 29
"c:\laragon\www\facturafacil\app\Models\Purchase.php", "PHP", 24, 0, 0, 7, 31
"c:\laragon\www\facturafacil\app\Models\PurchaseItem.php", "PHP", 19, 0, 0, 6, 25
"c:\laragon\www\facturafacil\app\Models\RestaurantOrder.php", "PHP", 120, 0, 2, 27, 149
"c:\laragon\www\facturafacil\app\Models\RestaurantOrderItem.php", "PHP", 77, 0, 0, 15, 92
"c:\laragon\www\facturafacil\app\Models\RestaurantTable.php", "PHP", 84, 0, 0, 19, 103
"c:\laragon\www\facturafacil\app\Models\Role.php", "PHP", 30, 0, 0, 9, 39
"c:\laragon\www\facturafacil\app\Models\Serie.php", "PHP", 24, 0, 0, 8, 32
"c:\laragon\www\facturafacil\app\Models\SpecialDocument.php", "PHP", 28, 0, 0, 8, 36
"c:\laragon\www\facturafacil\app\Models\SpecialDocumentEntity.php", "PHP", 14, 0, 0, 6, 20
"c:\laragon\www\facturafacil\app\Models\SpecialDocumentItem.php", "PHP", 14, 0, 0, 6, 20
"c:\laragon\www\facturafacil\app\Models\StockOutput.php", "PHP", 24, 0, 0, 8, 32
"c:\laragon\www\facturafacil\app\Models\StockOutputItem.php", "PHP", 19, 0, 0, 7, 26
"c:\laragon\www\facturafacil\app\Models\SummaryDocument.php", "PHP", 28, 0, 0, 8, 36
"c:\laragon\www\facturafacil\app\Models\SunatProduct.php", "PHP", 7, 0, 0, 3, 10
"c:\laragon\www\facturafacil\app\Models\Supplier.php", "PHP", 19, 0, 0, 6, 25
"c:\laragon\www\facturafacil\app\Models\Ubigeo.php", "PHP", 41, 0, 0, 10, 51
"c:\laragon\www\facturafacil\app\Models\User.php", "PHP", 78, 0, 0, 18, 96
"c:\laragon\www\facturafacil\app\Providers\AppServiceProvider.php", "PHP", 16, 0, 1, 5, 22
"c:\laragon\www\facturafacil\app\Providers\AuthServiceProvider.php", "PHP", 22, 0, 11, 5, 38
"c:\laragon\www\facturafacil\app\Providers\BroadcastServiceProvider.php", "PHP", 12, 0, 5, 5, 22
"c:\laragon\www\facturafacil\app\Providers\EventServiceProvider.php", "PHP", 17, 0, 11, 4, 32
"c:\laragon\www\facturafacil\app\Providers\RouteServiceProvider.php", "PHP", 30, 0, 25, 9, 64
"c:\laragon\www\facturafacil\app\Services\GreenterService.php", "PHP", 1252, 0, 19, 154, 1425
"c:\laragon\www\facturafacil\app\Services\PlainTextTicket.php", "PHP", 244, 0, 0, 27, 271
"c:\laragon\www\facturafacil\app\Services\PrintServerService.php", "PHP", 68, 0, 0, 13, 81
"c:\laragon\www\facturafacil\app\Services\PrintService.php", "PHP", 135, 0, 0, 17, 152
"c:\laragon\www\facturafacil\app\Services\SpecialDocumentService.php", "PHP", 237, 0, 1, 29, 267
"c:\laragon\www\facturafacil\app\Services\SummaryService.php", "PHP", 458, 0, 4, 67, 529
"c:\laragon\www\facturafacil\app\Services\SunatQrService.php", "PHP", 46, 0, 8, 11, 65
"c:\laragon\www\facturafacil\app\View\Components\AppLayout.php", "PHP", 11, 0, 3, 4, 18
"c:\laragon\www\facturafacil\app\View\Components\GuestLayout.php", "PHP", 11, 0, 3, 4, 18
"Total", "-", 15122, 1706, 1200, 2654, 20682
